"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WDMV"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-01","0.00","0.0","0.0","54","31","34","29.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-02","0.00","0.0","0.0","53","34","42","6.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-03","0.08","0.0","0.0","50","38","40","19.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-04","0.00","0.0","0.0","53","31","35","8.7"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-05","0.00","0.0","0.0","56","32","37","11.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-06","0.00","0.0","0.0","59","33","37","8.7"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-07","0.00","0.0","0.0","60","34","38","8.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-08","0.00","0.0","0.0","59","34","38","8.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-09","0.00","0.0","0.0","59","33","37","11.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-10","0.00","0.0","0.0","62","35","37","29.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-11","0.00","0.0","0.0","61","37","44","24.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-12","0.00","0.0","0.0","48","34","43","6.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-13","0.00","0.0","0.0","59","34","44","9.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-14","0.00","0.0","0.0","61","37","39","9.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-15","0.00","0.0","0.0","68","38","46","14.3"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-16","0.00","0.0","0.0","71","42","45","8.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-17","0.00","0.0","0.0","74","42","48","6.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-18","0.00","0.0","0.0","74","41","44","14.3"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-19","0.00","0.0","0.0","75","40","47","8.7"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-20","0.00","0.0","0.0","78","47","59","57.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-21","0.00","0.0","0.0","73","39","45","31.7"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-22","0.00","0.0","0.0","70","39","45","9.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-23","0.00","0.0","0.0","72","45","61","21.7"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-24","0.00","0.0","0.0","73","38","45","24.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-25","0.00","0.0","0.0","69","40","43","8.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-26","0.00","0.0","0.0","72","43","64","13.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-27","0.00","0.0","0.0","78","44","50","29.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-28","0.00","0.0","0.0","74","41","41","23.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-29","0.00","0.0","0.0","72","37","45","9.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-30","0.00","0.0","0.0","71","41","47","11.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-01-31","0.00","0.0","0.0","71","44","62","36.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-02-01","0.00","0.0","0.0","76","50","55","57.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-02-02","0.00","0.0","0.0","73","46","49","116.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-02-03","0.00","0.0","0.0","66","32","34","26.7"
